PageLocation,EventTimestamp,PageSequenceInSession,SessionNumber
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:17:30.519000,42,32644970
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:24:41.151000,43,32644970
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 01:36:58.575000,44,32644970
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 01:37:00.351000,45,32644970
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:37:12.362000,46,32644970
https://www.globalmyb2b.com/GEBANK/Login.aspx,2016-08-24 01:00:09.421000,4,32654029
https://www.globalmyb2b.com/GEBANK/Index.aspx,2016-08-24 01:07:48.430000,5,32654029
https://www.globalmyb2b.com/GEBANK/Login.aspx,2016-08-24 01:37:55.452000,6,32654029
https://www.globalmyb2b.com/GEBANK/Index.aspx,2016-08-24 01:46:50.896000,7,32654029
https://www.globalmyb2b.com/GEBANK/Login.aspx,2016-08-24 01:05:18.507000,16,32655354
https://www.cathaybk.com.tw/cathaybk/card/event/bonus_index.asp,2016-08-24 01:13:55.558000,24,32663392
https://www.cathaybk.com.tw/cathaybk/card/event/bonus/bonus_2_1.asp,2016-08-24 01:13:58.815000,25,32663392
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 01:05:37.985000,11,32663742
https://www.mybank.com.tw/MyBank/Quicklinks/Home/LoginMessage,2016-08-24 01:03:40.599000,10,32663802
https://www.mybank.com.tw/MyBank/Quicklinks/Home/Login,2016-08-24 01:03:43.271000,11,32663802
https://www.mybank.com.tw/MyBank/Quicklinks/Home/ReLogin,2016-08-24 01:03:45.740000,12,32663802
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 01:03:47.756000,13,32663802
https://www.mybank.com.tw/MyBank/Quicklinks/Home/Welcome,2016-08-24 01:04:12.910000,14,32663802
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:04:18.293000,15,32663802
https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout,2016-08-24 01:07:07.229000,16,32663802
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:01:49.790000,253,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:01:49.141000,254,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:02:32.150000,255,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:02:49.356000,256,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:02:49.419000,257,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:02:55.592000,258,32664498
app://com.cathaybk.koko.ios.app/預算管理,2016-08-24 01:02:55.670000,259,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:03:23.845000,260,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:03:28.951000,261,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:03:44.790000,262,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:03:47.165000,263,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:04:03.330000,264,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:04:08.443000,265,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:04:32.598000,266,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:04:41.720000,267,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:04:46.826000,268,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:04:55.600000,269,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:05:00.100000,270,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:06:05.630000,271,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:06:13.158000,272,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:06:25.278000,273,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:06:42.429000,274,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:06:50.540000,275,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:07:02.679000,276,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:07:05.796000,277,32664498
app://com.cathaybk.koko.ios.app/預算管理,2016-08-24 01:07:05.874000,278,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:07:06.968000,279,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:07:07.460000,280,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:08:47.578000,281,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:09:10.818000,282,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:09:10.897000,283,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:10:39.588000,284,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:12:50.903000,285,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:12:50.982000,286,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:12:56.770000,287,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:13:58.438000,288,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:13:58.516000,289,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:14:03.686000,290,32664498
app://com.cathaybk.koko.ios.app/預算管理,2016-08-24 01:14:03.765000,291,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:14:11.886000,292,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:14:22.800000,293,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:14:38.133000,294,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:14:50.251000,295,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:14:53.329000,296,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:14:56.424000,297,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:15:21.606000,298,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:15:57.913000,299,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:10.129000,300,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:10.207000,301,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:16:12.291000,302,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:23.411000,303,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:23.489000,304,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:16:29.636000,305,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:32.730000,306,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:32.808000,307,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:16:36.903000,308,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:47.500000,309,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:16:47.830000,310,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:16:52.169000,311,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:17:15.352000,312,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:17:15.432000,313,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:17:21.584000,314,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:17:26.695000,315,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:17:26.774000,316,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:17:27.867000,317,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:17:48.320000,318,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:17:48.112000,319,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:17:54.280000,320,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:18:20.455000,321,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:18:20.549000,322,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:18:22.627000,323,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:18:36.759000,324,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:18:36.837000,325,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:18:41.250000,326,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:18:46.202000,327,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:18:46.283000,328,32664498
app://com.cathaybk.koko.ios.app/備註,2016-08-24 01:18:51.376000,329,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:19:05.509000,330,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:19:05.572000,331,32664498
app://com.cathaybk.koko.ios.app/將此修改套用至,2016-08-24 01:19:07.666000,332,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:19:20.939000,333,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:19:37.101000,334,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:19:37.197000,335,32664498
app://com.cathaybk.koko.ios.app/請確認刪除,2016-08-24 01:19:43.300000,336,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:19:52.337000,337,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:20:05.443000,338,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:20:13.562000,339,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:20:19.663000,340,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:20:26.761000,341,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:20:44.101000,342,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:20:49.185000,343,32664498
app://com.cathaybk.koko.ios.app/預算管理,2016-08-24 01:20:49.295000,344,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:21:00.431000,345,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:21:05.529000,346,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:21:18.738000,347,32664498
app://com.cathaybk.koko.ios.app/預算類別明細列表,2016-08-24 01:21:35.670000,348,32664498
app://com.cathaybk.koko.ios.app/預算管理圖形分析頁,2016-08-24 01:21:45.176000,349,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:21:47.271000,350,32664498
app://com.cathaybk.koko.ios.app/預算管理,2016-08-24 01:21:47.349000,351,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:51:27.169000,352,32664498
app://com.cathaybk.koko.ios.app/null,2016-08-24 01:51:35.360000,353,32664498
app://com.cathaybk.koko.ios.app/首頁,2016-08-24 01:51:35.438000,354,32664498
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 01:00:08.421000,27,32664650
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:01:05.712000,16,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:05:13.915000,17,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:06:51.372000,18,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:08:49.676000,19,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:15:01.260000,20,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:18:51.361000,21,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:20:43.700000,22,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:24:10.899000,23,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:30:15.620000,24,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:31:19.855000,25,32664953
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 01:46:44.775000,26,32664953
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 01:46:48.688000,27,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:46:56.595000,28,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:49:28.824000,29,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:50:35.207000,30,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:51:55.301000,31,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:53:59.271000,32,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:58:58.777000,33,32664953
https://www.mybank.com.tw/mybank,2016-08-24 01:08:56.218000,6,32665063
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 01:09:11.947000,7,32665063
https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout,2016-08-24 01:09:22.252000,8,32665063
https://www.cathaybk.com.tw/cathaybk/OnlineLoan/creditcard/card_apply/applicationType.aspx,2016-08-24 01:00:10.696000,9,32665304
https://www.cathaybk.com.tw/cathaybk/OnlineLoan/creditcard/card_apply/applicationType.aspx,2016-08-24 01:00:15.197000,10,32665304
https://www.cathaybk.com.tw/cathaybk/OnlineLoan/creditcard/card_apply/Apply_Inp1.aspx,2016-08-24 01:01:38.194000,11,32665304
https://www.cathaybk.com.tw/cathaybk/OnlineLoan/creditcard/card_apply/Apply_Inp1.aspx,2016-08-24 01:04:52.330000,12,32665304
https://www.cathaybk.com.tw/cathaybk/credit-reserve.asp,2016-08-24 01:05:55.841000,13,32665304
https://www.cathaybk.com.tw/cathaybk/,2016-08-24 01:06:06.747000,14,32665304
https://www.cathaybk.com.tw/cathaybk/card/index.asp,2016-08-24 01:06:24.390000,15,32665304
https://www.cathaybk.com.tw/cathaybk/card/card/formosa/index.html,2016-08-24 01:06:58.495000,16,32665304
https://www.cathaybk.com.tw/cathaybk/,2016-08-24 01:07:15.809000,17,32665304
https://www.kokobank.com/KOKO/Home/KOKODSARules,2016-08-24 01:00:38.121000,27,32665481
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 01:06:03.672000,6,32665680
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 01:06:13.180000,7,32665680
app://com.cathaybk.mymobibank.android.app/LastestActivity,2016-08-24 01:01:06.118000,9,32665960
