PageLocation,EventTimestamp,PageSequenceInSession,SessionNumber
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 06:02:45.797000,71,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 06:06:21.717000,72,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 06:08:00.943000,73,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 06:15:05.845000,74,32678679
app://com.cathaybk.koko.android.app/AccountManage,2016-08-24 06:05:46.537000,15,32681374
app://com.cathaybk.koko.android.app/LoginActivity,2016-08-24 06:05:52.677000,16,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 06:05:56.762000,17,32681374
app://com.cathaybk.koko.android.app/LoginActivity,2016-08-24 06:06:05.854000,18,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 06:06:20.227000,19,32681374
app://com.cathaybk.koko.android.app/HomeSplitAccountActivity,2016-08-24 06:06:31.336000,20,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 06:06:47.436000,21,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:06:54.627000,22,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:08:40.110000,23,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:09:37.285000,24,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:09:39.347000,25,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:12:10.568000,26,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:12:12.646000,27,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:16:28.700000,28,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:16:33.940000,29,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:18:32.286000,30,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:18:34.360000,31,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:23:46.726000,32,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:24:03.812000,33,32681374
app://com.cathaybk.koko.android.app/WebContentActivity,2016-08-24 06:26:04.720000,34,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:26:34.237000,35,32681374
app://com.cathaybk.koko.android.app/OtherActivity,2016-08-24 06:26:39.332000,36,32681374
app://com.cathaybk.koko.android.app/AccountActivity2,2016-08-24 06:26:47.525000,37,32681374
app://com.cathaybk.koko.android.app/LoginActivity,2016-08-24 06:26:55.634000,38,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 06:27:05.130000,39,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 06:27:11.131000,40,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 06:27:12.199000,41,32681374
